,title,description,video_id,epilepsy_title,epilepsy_description
0,Remember Falling - Faultless (ft. Namii) [EPILEPSY WARNING],"Surprise again? After finishing Monarch with Vylet I felt strongly compelled to create a song in a similar vein, so I made...",jgVwcKJ7SSs,False,True
1,THE TRIO OF BEST GOTA.IO EDITS!?🔥(SHEN DOUZZY RAZOR) EPILEPSY WARNING!💀,HIELO! Douzzy - https://www.youtube.com/channel/UCjEZLbmwPgsi7_bqyi9vCHQ Razor - https://www.youtube.com/channel/UC0Q6xMR1plIPTWLhhjzdiFw ...,9CgqDUT1LUY,False,True
2,Jaden Smith - GHOST (Bass Boosted) [Epilepsy Warning],Jaden Smith - GHOST (Bass Boosted) [Epilepsy Warning] Follow Jaden: https://www.youtube.com/channel/UC-w7D3GsJecTHA8Sjcyn6sQ Music by Jaden ...,W0XmKWJKA34,True,True
3,Sasha (2p!Hetalia)|Russia;China (epilepsy warning),"Ролик старалась делать как оригинал,но не смогла TJT Оригинал песни:https://www.youtube.com/watch?v=Zb7_DdSvm74 Перевод от Алюми...",-SyAr0b8AjI,False,True
4,VAPORWAVE RAVE - animation meme (epilepsy warning),original: https://www.youtube.com/watch?v=pk4wkOADj2A yes so see i wanted to make a simple video so i could finally post something here again and then i ...,rJvpG9Wg3i4,False,True
5,Slow Slicing MAP Part 1 (EPILEPSY WARNING),MAP: https://www.youtube.com/watch?v=LWukr2teX8Y SONG: Slow Slicing - Klonopin' by Lauren Bousfield OH MY GOD OK A Y so I wanted to put both my ...,6WwtEDDE7pU,False,True
6,SAY GOODBYE FAN ANIMATION for Jacksepticeye (Epilepsy warning~) [OLD],"EDIT: So, you peeps cant read eh? WELL 'I KNOW it looks like he was kissing/eating etc. the pumpkin, YOU DON'T HAVE TO TELL ME!!! AND I KNOW that looks ...",t6UbRzN6LLk,False,True
7,Beast part 10 || Ouma x Saihara (epilepsy warning),"Do you even know how addicted to OumaSai I am. Help me. I'm working on part 1, don't worry ^-^ MEP (CLOSED): ...",281R6bAmx2A,False,True
8,LOSING MY MIND - meme (EPILEPSY WARNING),"EPILEPSY WARNING, FLASHY IMAGES -So as usual Shay comes out of her hole again after 2-3 months- HIIIIIII GUYYYSSS HMHMHMMMMHMHMHMMMM A ...",i-hEhhff1O8,True,True
9,Everything Black  // Epilepsy warning,"Music : https://www.youtube.com/watch?v=lcg6wekmCRA I dont really know what this is, but, I,, kinda just, did it? I'm sort of proud of it though, I like how it turned ...",sLYqFuWgsgg,False,True
10,*epilepsy warning* CEMU 1.5.5c | Sonic Boom | i7 3770 R9 290x,In game.,Pq4bKrw6UZk,False,True
11,FASHION WEEK [ANIMATION MEME] (EPILEPSY WARNING),Original IDK.,BXikeNZVpkQ,False,True
12,"(EPILEPSY WARNING)[SFM/FNaF] てんしょう　しょうてんしょう ""Ten Sho Sho Ten Sho"" by Kikuo","in my opinion this is the best animation I made yet xPP Anyways, enjoy uwu Credits: Song: https://youtu.be/WhRBeW8IOgs Kikuo: ...",K5Gd5W4b2Uo,False,True
14,23:08 Jack Frost Pizza saturday. Epilepsy Warning: FLASHING LIGHTS & COLORS,,uXKuXI46tS4,False,True
15,Go h4rd - meme Collab  (epilepsy warning maybe?),I know power director messed up some things..frik... Original: https://youtu.be/Yziu064gTkc Check the photo from the video in my instagram: ...,pf_L1pxVacI,False,True
16,Red melody meme |flipaclip| warning (many blood) epilepsy warning,,zxmGygomMpk,False,True
17,krzyzis - Uranus (Official Music Video) [SEIZURE/EPILEPSY WARNING],WARNING: This video has flashing contrasting lights which may potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is advised.,gJ_aZ-WlrFY,True,True
18,[Epilepsy Warning!] Touch Tone Telephone | Goosefeather MAP | Part 4,MAP: https://www.youtube.com/watch?v=GrXBM7pRzN4 I know I said I was going to start uploading map parts in little collections instead of individually but.,LfSwrSKkXHc,False,True
19,[FMV] Daehyun - The hills - epilepsy warning,FIFTY SHADES OF DAEHYUN PT.2 Song: The weekend - The hills (Bass boosted) [ HKV BLURRED REMIX ] Requested by: A.J KWON I've finally done this ...,I15_wWfIgUM,False,True
20,WE HAVE AMMUNITION [Epilepsy Warning],,ekLjHmHupXE,False,True
21,HUMANITY -  Calixte ( EPILEPSY WARNING ),DON'T WATCH IF YOU ARE EPILEPTIC OR SENSIBLE ! soundcloud : https://soundcloud.com/calixte-patissier.,OOGJhFZj-0Y,False,True
