,title,description,video_id,epilepsy_mentioned
0,SOUNDING - BRAD (Official Music Video),WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. VIEWER DISCRETION IS ...,jSDvH--vcx8,True
1,Fugees - Killing Me Softly With His Song [Bass Boosted],"Now playing: Fugees - Killing Me Softly With His Song [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and copyright)... WARNING: ...",TbUTNFzIu4s,True
3,Inkyz - Jungle [Extreme BassBoosted],Link to Official Music - https://www.youtube.com/watch?v=CKLxRkwJ7Q8 WARNING ! ! ! This Video Has been Identified By Epilepsy action to Potentially...,jlPt-okCZA4,True
4,Bazzi - Mine [Bass Boosted],"Now playing: Bazzi - Mine [Bass Boosted] Request a song: https://goo.gl/forms/LsCcC4C1Qr0AkEbv1 Show more (epilepsy warning, credits and copyright).",4p23xrgM0x4,True
5,The Ting Go Skrra (Juelz Remix) [Bass Boosted],"Thanks for watching. All rights reserved to the artists. Show more (epilepsy warning, credits and copyright)... Request a song: ...",Nwnodeoj8a4,True
6,vowl. - advance,WARNING THIS VIDEO HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH PHOTOSENSITIVY ...,gvzFFFCcmjU,True
7,Snap! - The Power (Brillz  Willy Joy Remix) [Bass Boosted],WARNING: THIS VIDEO HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH PHOTOSENSITIVE ...,f9sVLqAlhos,True
9,BÖ - Witchcore 18+,UYARI: Bu video ışığa duyarlı epilepsi geçmişi olan kişiler için sakıncalı görüntüler içermektedir. WARNING: This video has been identified by Epilepsy Action to ...,F_Z7-ekdAcY,True
10,Jonas Gonçalves - Goal Machine | SL Benfica,"Song: Syn Cole - Feel Good https://www.youtube.com/watch?v=q1ULJ92aldE ""Warning: This video has been identified by Epilepsy Action to potentially trigger ...",zlAun8-W8oI,True
11,SOUNDING - FLUFFERS (Official Music Video),WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. VIEWER DISCRETION IS ...,likBs4awMRY,True
12,Bonfire Anime Meme Mashup [Bass Boosted],"Now playing: elijah who - don't forget to feed your neopets [Bass Boosted] Thanks for watching Show more (epilepsy warning, credits and copyright).",_LxpIVVxJfA,True
13,The Pink Panther Theme Song Remix [Bass Boosted],️WARNING⚠   ❗️THIS HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH PHOTOSENTIVE ...,XRJByXAjsS0,True
14,Showtek - swipe (Dropwizz remix),WARNING THIS VIDEO HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH PHOTOSENSITIVY ...,LcxiU02WDpM,True
15,Zelda - Lost Woods (Goblins From Mars Trap Remix) [Bass Boosted],Zelda - Lost Woods (Goblins From Mars Trap Remix) [Bass Boosted]  ♫ ⚠️WARNING⚠   ❗️THIS HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO ...,KmFX9Rv0Tck,True
17,MiyaGi & Эндшпиль - #ТАМАДА [Bass Boosted],"Now playing: MiyaGi & Эндшпиль - ТАМАДА [Bass Boosted] Request a song: https://goo.gl/forms/LsCcC4C1Qr0AkEbv1 Show more (epilepsy warning, credits, ...",gZiNyBl29Ik,True
21,Kushmir-Fireflies,WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is advised.,P_UjLlK3SyI,True
22,SHIVA,I wish it was longer :/ ♫ - Nobodies - Shiva I LOVE YOU ALL :D (WARNING) This video has been identified by epilepsy action to potentially trigger seizures for ...,EZFEqnYJO2E,True
23,Dj Baylo - Baby you should take it Slow [ExtremeBassBoosted],Link to Official Music - https://www.youtube.com/watch?v=hkyC9x5XP_s WARNING ! ! ! This Video Has been Identified By Epilepsy action to Potentially...,LDdwGLGpDTE,True
25,BÖ - Ma Spirit (Unofficial Video) 18+,UYARI: Bu video ışığa duyarlı epilepsi geçmişi olan kişiler için sakıncalı görüntüler içermektedir. WARNING: This video has been identified by Epilepsy Action to ...,m0C0FcqC9v0,True
26,SOUNDING - HOLY SPUNK (Official Music Video),WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. VIEWER DISCRETION IS ...,ruRGtiw3ybo,True
27,Kraken Remix (Hotel Transylvania 3) [Bass Boosted],"Now playing: Kraken Remix (Hotel Transylvania 3) [Bass Boosted] Thanks for watching Show more (epilepsy warning, credits and copyright).",i_4feTNQa_A,True
28,Drake - God's Plan (Jersey Club Remix) [Bass Boosted] #FREEKILLMUSIC #GRIZZY,"Now playing: Drake - God's Plan (Jersey Club Remix) [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and copyright)... WARNING: ...",cpkr7GCMgTg,True
29,BTS (방탄소년단) - No More Dream [Bass Boosted],"Now playing: BTS (방탄소년단) - No More Dream [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and copyright)... WARNING: THIS ...",Idyd6GmKfF0,True
31,AWOLNATION - Sail (Tobianas_sk Bass Boost) [Trap Nation layout],"Now playing: AWOLNATION - Sail (Tobianas_sk Bass Boost) Thanks for watching. Show more (epilepsy warning, credits and copyright)... WARNING: THIS ...",NK7jg7VYny0,True
