,title,description,video_id
0,Funniest Seinfeld Moments Part 1,Funniest Seinfeld Moments Part 1. This is not my video. Part 2: http://www.youtube.com/watch?v=Go5g96vKF1U Part 3: ...,PaPxSsK6ZQA
1,Jerry Seinfeld Shames Every Older Man for Wearing Jeans,"Jerry Seinfeld chats with Jimmy about the warmth and horror of Thanksgiving, turning his family into comedy props and when it's time for older men to retire ""cool ...",YsFItXMCKJk
2,Seinfeld — Lady That Wears Only One Dress,"Jerry is puzzled because he can't figure out why the girl he is dating seems to be wearing the same dress every time he sees her. From Seinfeld (Season 7, ...",9KrN9OBhpyQ
3,Seinfeld - Risk,A game of world domination played by two guys who can barely run their own lives.,VyNWVdExM24
4,Best of George Costanza | Seinfeld Part - 1,,sp_71Ok39Y0
5,"Jerry Seinfeld on Julia Louis-Dreyfus & ""Seinfeld"" | 2018 Mark Twain Prize",Jerry Seinfeld honors Julia Louis-Dreyfus during the 21st Annual Mark Twain Prize for American Humor at The Kennedy Center. An outstanding lineup of ...,4USDQ3pYfJk
6,Great Seinfeld Moments,"A healthy collection of my personal favorite Seinfeld moments... as you can see, I am a fan of the later seasons.",slbco4zHmt8
7,Do Teens & College Kids Think Seinfeld Is Funny? | Does It Hold Up?,Watch all main React episodes (Kids/Teens/Elders/Adults/YouTubers): http://goo.gl/4iDVa What should we react to next?? https://fbereact.com/submit ...,r5BxjUmzPPA
8,Seinfeld - Jerry Shaves His Chest,Seinfeld - Season 8 - Episode 21 (The Muffin Tops),xX3ZnwHe-go
9,The Story of Festivus,The Story of Festivus.,HX55AzGku5Y
10,cleavage seinfeld,"Seinfeld gang ""deals"" with cleavage and Elain is trying to seduce the guy from NBC in a few videos from diffrent episodes. נערך לטובת פעילות חינוכית העוסקת בלבוש, ...",evOm0ZBMeGk
11,The Soup Nazi,Seinfeld Season 07 Episode 06 - one of the more memorable characters of the show. I do not own or claim to own the rights to this. Just putting it here for people ...,euLQOQNVzgY
12,Seinfeld  - The Heart Attack,"George, Kramer and Jerry meet Tor Eckman, the holistic healer. Eckman performs a number of unorthodox methods to determine George's real ailment, which ...",WCZFsXV8Pnc
13,Jerry Seinfeld SAVAGE Moments,Jerry Seinfeld doesn't tolerate fools Get all of Seinfeld's Episodes on Amazon: https://amzn.to/2S1MNaf If you want to send any videos that you want featured or ...,4TysctH5jiI
14,Seinfeld — Native American (Full Scene),"Jerry has some trouble dating a Native American. From Seinfeld (Season 5, Episode 10).",cpGfyp6MxkM
15,Pigman | Seinfeld,Seinfeld.,p11I7VCON9A
16,Seinfeld - Highlights of Mr. & Mrs. Costanza 1,No copyright is claimed in this video clip and no copyright infringement is intended. Part 2: https://www.youtube.com/watch?v=IfBaDWVIK7E&t=4s Part 3: ...,ZVq7CyhfRA8
17,Seinfeld - The Old Man,"Some scenes from Seinfeld's episode ""The Old Man"" (S04E18), with the elderly man Sid Fields (Bill Erwin), that Jerry gets assigned for volunteering with the ...",_JNs0s9fpjU
18,Seinfeld - Season 1 Clips (1 of 1),This is a collection of the best scenes from the first season of Seinfeld. Stay tuned for the second season which will be uploaded soon.,wfnX73tjHi0
19,Seinfeld Season 7 Extra 7 Inside Looks,,QGROXMFxRr0
20,Seinfeld The Bakery 1,Seinfeld The Bakery 1.,n0FLczlOpqo
21,Seinfeld Bloopers Season 4 (Part 1),Seinfeld Bloopers Season 4 (Part 1),rK2B8z7sDhI
22,Seinfeld - The Reunion Episode (fan made),"During the roundtable discussion, Jerry revealed that Jason and him contemplated the idea of doing one more scene. “It would be a coffee shop scene, with ...",C03BxeX03pY
23,Seinfeld - Season 2 Clips (1 of 3),This is a collection of the best scenes from the second season of Seinfeld. Stay tuned for the third season which will be uploaded soon.,eGYTugxaFvs
24,Seinfeld Season 1 Inside Looks,,z7CQIJ9-vow
25,Tuscany,There's nothing to rent in Tuscany...,EPkmLWOqwwA
26,Seinfeld Classics - Kramer Faux Pas Moments saying the wrong thing,"""Seinfeld"" is the greatest TV show of all time. Watch Kramer's most memorable Faux Pas moments as he puts his foot in his mouth and always seems to say the ...",5L1PQymIZ0I
27,Seinfeld Bloopers Season 7 (Part 1),Seinfeld Bloopers Season 7 (Part 1),QviJz4M-mkI
28,Seinfeld Season 5 Bloopers & Outtakes,Seinfeld Season 5 Bloopers & Outtakes.,HCgWweWeKTA
29,7 Seinfeld Facts You (Probably) Didn't Know!,"Everyone's favorite show about nothing turns 25 this year. Even if you've been a fan since the beginning, you may not know these obscure facts about the show ...",B7SXPCwq0-o
30,Julia Louis-Dreyfus / Elaine Marie Benes / Seinfeld Bloopers PT 1,"This compilation is dedicated to Julia Louis-Dreyfus / Elaine Marie Benes from the Seinfeld sitcom. Her beauty, smile and laughter is extremely infectious. This is ...",JcNcW1H-bpk
31,"Jerry Seinfeld interview, 1993","Jerry Seinfeld interview, 1993.",zoJL4QZIfvI
32,Seinfeld Bloopers Season 6 (Part 1),Seinfeld Bloopers Season 6 (Part 1),xSrjAeEK7dI
33,Seinfeld | Jackie Chiles,"""Jackie Chiles is a fictional character portrayed by American actor Phil Morris in the NBC sitcom Seinfeld. He appears in the series' seventh through ninth ...",d40pS-e5Z9g
34,The Ending Of Seinfeld Explained,"If you're new, Subscribe! → http://bit.ly/Subscribe-to-Looper It's been 20 years since Seinfeld left TV, and its ratings-grabbing final episode remains divisive ...",Rzc9v9Ek7KI
35,"Seinfeld - Season 9 - Inside Looks - ""The Butter Shave"", ""The Voice"", (...) (Subtítulos en Español)","Inside Looks: ""The Butter Shave"", ""The Voice"", ""The Junk Mail"" & ""The Merv Griffin Show"". Miradas internas de los episodios ""La Mantequilla"", ""La Voz"", ""El ...",MQy9pVBNnIY
36,Web Exclusive: Jerry Seinfeld Audience Q&A (Late Night with Jimmy Fallon),"After Jimmy and Jerry Seinfeld finish their interview segment, Jerry stays to field audience questions about his life and career. WATCH: Jerry Seinfeld Performs ...",yeHxp9KtFc8
37,Seinfeld - George's Plan (The Switch),Jerry and George hatch a plan to swap Jerry's girlfriend for her roommate.,nfzVowHa1aM
38,Seinfeld Reunion 2/4 (2004),The first reunion after the end of one of the biggest sitcoms in TV history.,YkLK-fpduiw
39,Seinfeld The Masseuse,,zLo3kbggWZs
40,Seinfeld Minutia,Those random conversations at the beginning of some Seinfeld episodes in the later seasons.,1-HfU_3WTxY
41,Seinfeld | Justin Pitt,"A compilation of clips from Seinfeld featuring Justin Pitt, simply referred to as ""Mr. Pitt"" throughout the series. ""Seinfeld is an American television sitcom that ...",2BPR6Vwt0EY
42,seinfeld glasses full scene HD,Hilarious scene from seinfeld.,rtU-eoUa4Xg
43,Seinfeld - The Comeback.wmv,,KDRImgMxNQg
44,Top 5 Seinfeld Episodes,It's time to take a look at the best episodes of what I consider to be the best sitcom of all time. I know that I usually don't post videos about live action shows on ...,pTeooZcOOQ8
45,Howard Stern..Jerry Seinfeld 8-30-10 Part 1-3,Howard Stern..Jerry Seinfeld 8-30-10 Part 1-3.,4xvSZDE_pWA
46,Best Of Seinfeld   Season 1,"Seinfeld got off to a rocky start with Season 1, but it had some good moments nonetheless. 0:00-1:24 S1E4 1:24-1:52 S1E2 1:52-2:15 S1E2 2:15-2:49 S1E2 ...",az_twPoTiAE
